id;start_date;end_date;language
1;2019-05-04T10:04:03;2019-05-04T03:12:20;FRENCH
2;2019-05-04T11:34:08;2019-05-03T20:40:18;FRENCH
3;2019-05-04T07:06:13;2019-05-03T22:30:13;FRENCH
4;2019-05-03T20:18:04;2019-05-04T03:45:06;FRENCH
5;2019-05-04T05:16:43;2019-05-04T10:00:52;FRENCH
6;2019-05-04T11:33:44;2019-05-04T12:50:40;FRENCH
7;2019-05-03T20:56:03;2019-05-04T09:36:50;FRENCH
8;2019-05-03T18:27:22;2019-05-04T02:27:31;FRENCH
9;2019-05-04T04:15:28;2019-05-04T12:40:06;FRENCH
10;2019-05-04T07:33:38;2019-05-04T04:49:53;FRENCH
